"region_id";"large_gov";"region_lat";"region_long";"small_gov"
164;"전남";"34.56838280270951";"126.61993680574948";"해남군"
165;"전남";"34.80016837374065";"126.69680775269616";"영암군"
166;"전남";"34.99049069694738";"126.48168516908085";"무안군"
167;"전남";"35.06601735783162";"126.51668006908241";"함평군"
168;"전남";"35.277321118967976";"126.51206654025114";"영광군"
169;"전남";"35.30204292420545";"126.7848647267572";"장성군"
170;"전남";"34.31106619963804";"126.75511831324422";"완도군"
171;"전남";"34.4868052936538";"126.26352708288036";"진도군"
172;"전남";"34.83345797648018";"126.35135724024276";"신안군"
173;"전북";"35.82431496774869";"127.14801122676735";"전주시"
174;"전북";"35.94827070744084";"126.95771367630452";"익산시"
175;"전북";"36.019546798009856";"126.76513931462969";"군산시"
176;"전북";"35.570051098898944";"126.85604652676233";"정읍시"
177;"전북";"35.416479690534686";"127.39042615559471";"남원시"
178;"전북";"35.80363969946954";"126.88050484026132";"김제시"
179;"전북";"35.904816421813095";"127.16215845560399";"완주군"
180;"전북";"35.43592784395221";"126.70210899792464";"고창군"
181;"전북";"35.731947627805546";"126.73347616909501";"부안군"
182;"전북";"35.61791736201751";"127.28913638443366";"임실군"
183;"전북";"35.374539306082866";"127.13747974025301";"순창군"
184;"전북";"35.79195813072018";"127.42456814026102";"진안군"
185;"전북";"36.00694048686896";"127.660818726771";"무주군"
186;"전북";"35.64741762017385";"127.52123032676393";"장수군"
187;"경남";"35.22815329597511";"128.6818142979207";"창원시"
188;"경남";"35.228746512499804";"128.88937164233994";"김해시"
189;"경남";"35.335090462192426";"129.03705312135824";"양산시"
190;"경남";"35.18041140991406";"128.10876905559005";"진주시"
191;"경남";"34.88059029261514";"128.62120206907883";"거제시"
192;"경남";"34.85444472426416";"128.43324790874112";"통영시"
193;"경남";"35.003751750012";"128.06424814024595";"사천시"
194;"경남";"35.503885452984164";"128.7466077979259";"밀양시"
195;"경남";"35.27256337208314";"128.40653499792143";"함안군"
196;"경남";"35.6867658218117";"127.9095167979295";"거창군"
197;"경남";"35.54470626573174";"128.49237091326742";"창녕군"
198;"경남";"34.973113751993665";"128.32225602675084";"고성군"
199;"경남";"35.06733361877607";"127.75129005558787";"하동군"
200;"경남";"35.56673161633926";"128.16589538357735";"합천군"
201;"경남";"34.83777213146048";"127.89260466780213";"남해군"
